id,value
6001x,-0.63253489480604985
6001y,0.1573784165658409
6002x,-0.63253489480604985
6002y,0.1573784165658409
6003x,-0.63253489480604985
6003y,0.1573784165658409
6004x,-0.63253489480604985
6004y,0.1573784165658409
6005x,-0.27601113695485291
6005y,-0.78902483538483392
6006x,-0.63253489480604985
6006y,0.1573784165658409
6007x,-0.0086638957346486523
6007y,-0.58829799792668891
6008x,-0.0086638957346486523
6008y,-0.58829799792668891
6009x,-0.0086638957346486523
6009y,-0.58829799792668891
6010x,-0.63253489480604985
6010y,0.1573784165658409
6011x,-0.35368625473125781
6011y,0.14649278268496996
6012x,-0.63253489480604985
6012y,0.1573784165658409
6013x,-0.63253489480604985
6013y,0.1573784165658409
6014x,-0.27601113695485291
6014y,-0.78902483538483392
6015x,-0.0086638957346486523
6015y,-0.58829799792668891
6016x,-0.0086638957346486523
6016y,-0.58829799792668891
6017x,-0.35368625473125781
6017y,0.14649278268496996
6018x,-0.27601113695485291
6018y,-0.78902483538483392
6019x,-0.35368625473125781
6019y,0.14649278268496996
6020x,-0.0086638957346486523
6020y,-0.58829799792668891
6021x,-0.27601113695485291
6021y,-0.78902483538483392
6022x,0.048013459730513908
6022y,-0.3046181474773707
6023x,-0.63253489480604985
6023y,0.1573784165658409
6024x,0.048013459730513908
6024y,-0.3046181474773707
6025x,0.048013459730513908
6025y,-0.3046181474773707
6026x,-0.27601113695485291
6026y,-0.78902483538483392
6027x,-0.35368625473125781
6027y,0.14649278268496996
6028x,0.048013459730513908
6028y,-0.3046181474773707
6029x,-0.63253489480604985
6029y,0.1573784165658409
6030x,-0.27601113695485291
6030y,-0.78902483538483392
6031x,-0.0086638957346486523
6031y,-0.58829799792668891
6032x,-0.27601113695485291
6032y,-0.78902483538483392
6033x,-0.63253489480604985
6033y,0.1573784165658409
6034x,-0.63253489480604985
6034y,0.1573784165658409
6035x,-0.27601113695485291
6035y,-0.78902483538483392
6036x,-0.35368625473125781
6036y,0.14649278268496996
6037x,-0.27601113695485291
6037y,-0.78902483538483392
6038x,-0.27601113695485291
6038y,-0.78902483538483392
6039x,-0.27601113695485291
6039y,-0.78902483538483392
6040x,0.048013459730513908
6040y,-0.3046181474773707
6041x,-0.63253489480604985
6041y,0.1573784165658409
6042x,0.048013459730513908
6042y,-0.3046181474773707
6043x,-0.0086638957346486523
6043y,-0.58829799792668891
6044x,-0.27601113695485291
6044y,-0.78902483538483392
6045x,-0.089609871759529641
6045y,-0.037066592627959333
6046x,-0.63253489480604985
6046y,0.1573784165658409
6047x,0.048013459730513908
6047y,-0.3046181474773707
6048x,-0.0086638957346486523
6048y,-0.58829799792668891
6049x,-0.27601113695485291
6049y,-0.78902483538483392
6050x,-0.63253489480604985
6050y,0.1573784165658409
6051x,-0.63253489480604985
6051y,0.1573784165658409
6052x,-0.63253489480604985
6052y,0.1573784165658409
6053x,-0.27601113695485291
6053y,-0.78902483538483392
6054x,0.048013459730513908
6054y,-0.3046181474773707
6055x,-0.0086638957346486523
6055y,-0.58829799792668891
6056x,-0.35368625473125781
6056y,0.14649278268496996
6057x,-0.27601113695485291
6057y,-0.78902483538483392
6058x,-0.089609871759529641
6058y,-0.037066592627959333
6059x,-0.63253489480604985
6059y,0.1573784165658409
6060x,0.048013459730513908
6060y,-0.3046181474773707
6061x,0.048013459730513908
6061y,-0.3046181474773707
6062x,-0.35368625473125781
6062y,0.14649278268496996
6063x,-0.63253489480604985
6063y,0.1573784165658409
6064x,-0.35368625473125781
6064y,0.14649278268496996
6065x,-0.0086638957346486523
6065y,-0.58829799792668891
6066x,-0.27601113695485291
6066y,-0.78902483538483392
6067x,-0.27601113695485291
6067y,-0.78902483538483392
6068x,-0.63253489480604985
6068y,0.1573784165658409
6069x,-0.27601113695485291
6069y,-0.78902483538483392
6070x,-0.63253489480604985
6070y,0.1573784165658409
6071x,-0.27601113695485291
6071y,-0.78902483538483392
6072x,-0.27601113695485291
6072y,-0.78902483538483392
6073x,-0.35368625473125781
6073y,0.14649278268496996
6074x,-0.27601113695485291
6074y,-0.78902483538483392
6075x,-0.27601113695485291
6075y,-0.78902483538483392
6076x,-0.27601113695485291
6076y,-0.78902483538483392
6077x,-0.27601113695485291
6077y,-0.78902483538483392
6078x,-0.63253489480604985
6078y,0.1573784165658409
6079x,0.048013459730513908
6079y,-0.3046181474773707
6080x,-0.63253489480604985
6080y,0.1573784165658409
6081x,-0.0086638957346486523
6081y,-0.58829799792668891
